Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2017-12-15,72.00,72.00,71.50,71.50,9,4037,289154.50
2017-12-14,72.00,72.00,72.00,72.00,4,1100,79200.00
2017-12-13,72.00,72.00,72.00,72.00,6,2833,203976.00
2017-12-12,72.00,73.00,72.00,73.00,8,23145,1676029.50
2017-12-11,70.70,72.10,70.60,72.10,16,15035,1081165.80
2017-12-08,71.00,71.00,71.00,71.00,4,1200,85200.00
2017-12-06,70.80,70.80,70.80,70.80,2,100,7080.00
2017-12-04,72.00,72.00,72.00,72.00,1,22,1584.00
2017-11-30,72.00,72.00,72.00,72.00,2,1200,86400.00
2017-11-29,73.00,73.00,72.00,72.00,7,2306,166033.00
2017-11-28,72.00,72.10,72.00,72.10,10,6000,432050.00
2017-11-27,73.00,73.00,72.50,72.50,12,13131,957915.50
2017-11-24,73.00,73.00,73.00,73.00,7,7608,555384.00
2017-11-23,73.10,73.10,72.50,72.60,3,3400,246740.00
2017-11-22,72.50,73.00,72.00,73.00,4,1550,112625.00
2017-11-21,72.00,73.00,72.00,72.60,2,3500,254000.00
2017-11-20,73.20,73.30,73.00,73.10,29,40199,2938676.30
2017-11-17,71.20,72.50,71.20,72.50,6,752,54249.60
2017-11-16,70.00,72.30,70.00,71.90,12,2117,149589.60
2017-11-15,70.10,71.00,70.00,70.40,12,1704,119641.50
2017-11-14,72.50,72.50,70.00,70.30,28,12511,902295.00
2017-11-13,72.60,72.60,72.60,72.50,3,46,3339.60
2017-11-10,72.50,72.50,72.50,72.50,2,250,18125.00
2017-11-09,72.60,73.70,72.50,73.70,14,4515,330637.30
2017-11-08,72.60,73.90,72.60,73.00,4,1054,76981.50
2017-11-07,73.60,73.90,73.60,73.60,5,1850,136460.00
2017-11-06,74.00,74.20,74.00,74.00,7,1451,107454.00
2017-11-02,73.00,75.00,73.00,74.90,73,80693,6022113.80
2017-11-01,73.00,73.30,72.50,73.10,16,27917,2039951.60
2017-10-31,72.20,73.20,72.20,73.10,21,18252,1333389.10
2017-10-30,72.40,73.00,72.40,73.00,35,24702,1799986.00
2017-10-27,72.10,73.00,71.50,72.20,14,10260,737625.00
2017-10-26,73.00,73.00,71.70,72.10,26,42836,3090342.20
2017-10-25,72.00,73.00,72.00,73.00,28,22938,1662349.10
2017-10-24,71.80,72.30,71.80,72.00,31,78029,5618199.00
2017-10-23,72.40,72.40,71.70,71.90,12,11905,858310.00
2017-10-20,72.50,72.50,71.70,72.00,18,11438,823935.90
2017-10-19,73.00,73.00,71.50,72.10,81,76971,5565595.50
2017-10-17,72.80,72.90,70.00,71.00,9,3000,212899.80
2017-10-16,73.00,73.00,69.20,70.10,17,8911,624261.20
2017-10-13,71.00,74.00,71.00,71.00,90,56142,4069917.20
2017-10-12,69.40,71.00,68.00,69.90,36,26581,1849430.10
2017-10-11,68.00,68.00,67.00,67.40,9,8121,549897.00
2017-10-10,67.60,68.00,67.60,68.00,7,8632,586576.00
2017-10-09,67.80,67.80,67.60,67.70,7,2475,167660.00
2017-10-06,68.00,68.00,68.00,67.80,2,4,272.00
2017-10-03,67.00,68.00,67.00,67.80,14,3947,266153.20
2017-10-02,66.70,67.00,66.50,66.60,11,950,63290.00
2017-09-29,66.90,67.00,66.70,66.90,27,17305,1158285.50
2017-09-28,67.00,67.00,67.00,67.00,17,7251,485817.00
2017-09-26,67.10,67.10,67.00,67.00,5,2175,145727.10
2017-09-25,66.80,68.80,66.30,67.30,7,602,40536.10
2017-09-22,68.00,68.50,68.00,68.50,2,589,40146.50
2017-09-21,67.20,69.00,67.20,68.90,9,2702,183200.80
2017-09-20,69.00,69.00,68.50,68.50,4,454,31120.70
2017-09-19,67.50,67.50,67.10,67.50,8,1136,76665.60
2017-09-18,67.50,67.60,67.50,67.50,3,3200,216001.00
2017-09-14,68.50,68.50,67.50,67.50,5,5200,351241.00
2017-09-13,68.50,68.90,68.50,68.50,3,805,55144.50
2017-09-12,67.50,67.90,67.50,67.60,9,6834,461924.60
2017-09-11,67.50,67.50,67.50,67.50,2,700,47250.00
2017-09-08,67.50,67.60,67.40,67.50,11,1500,101230.00
2017-09-07,68.00,68.00,67.00,67.10,12,2040,137020.90
2017-09-06,68.50,68.50,68.20,68.20,3,1140,77780.00
2017-09-04,67.50,69.00,67.50,68.20,9,3598,245033.00
2017-08-31,68.50,69.00,67.10,67.10,11,9810,665031.90
2017-08-30,68.10,68.50,67.30,68.50,13,6593,451323.00
2017-08-28,69.50,69.50,69.00,69.00,7,900,62116.50
2017-08-25,69.40,69.50,68.50,69.10,12,5326,367534.50
2017-08-24,68.00,68.00,68.00,68.00,10,210,14280.00
2017-08-23,69.90,69.90,69.00,69.90,5,9322,651538.00
2017-08-22,69.60,70.00,69.00,70.00,25,34647,2424047.00
2017-08-21,69.60,69.60,69.60,68.50,1,10,696.00
2017-08-18,69.70,70.00,68.50,68.50,4,420,29223.00
2017-08-17,67.60,67.70,67.50,67.50,8,1515,102324.00
2017-08-16,69.00,69.00,67.00,67.10,34,20510,1375466.00
2017-08-14,69.90,71.00,69.90,70.70,17,25461,1799556.00
2017-08-11,68.50,68.50,68.00,68.00,17,3750,255293.00
2017-08-10,69.50,70.00,69.50,70.00,3,3540,247730.00
2017-08-09,70.10,70.20,69.00,69.10,26,11143,777106.50
2017-08-08,71.00,71.00,70.20,70.20,6,1010,71308.00
2017-08-04,70.60,71.50,70.50,70.60,9,16550,1168095.00
2017-08-03,71.60,71.60,70.00,70.10,29,28505,2002955.10
2017-08-02,70.60,72.00,70.60,71.70,18,39000,2795103.80
2017-08-01,72.00,73.00,71.90,71.90,33,41201,2969237.90
2017-07-31,73.50,74.90,71.00,71.00,65,40654,2938306.40
2017-07-28,69.90,71.50,69.00,71.00,27,20629,1464994.10
2017-07-27,70.00,70.00,69.90,70.00,6,5951,416469.90
2017-07-26,70.80,70.80,70.80,70.00,1,50,3540.00
2017-07-25,70.00,70.10,69.70,70.00,10,25000,1750477.80
2017-07-24,70.10,70.10,70.00,70.00,8,5116,358370.00
2017-07-21,70.40,72.00,70.00,70.00,8,14551,1038099.20
2017-07-20,71.00,71.00,69.50,69.90,8,2882,201571.10
2017-07-19,70.00,70.60,70.00,70.00,8,20050,1403530.00
2017-07-18,72.00,72.00,70.00,70.00,5,5000,358010.00
2017-07-17,72.00,72.00,70.20,72.00,16,27860,2005899.50
2017-07-14,69.50,72.30,69.50,71.10,35,20031,1403790.50
2017-07-13,68.00,69.40,68.00,69.20,4,854,59071.00
2017-07-12,69.00,69.00,68.00,68.20,8,1517,103656.10
2017-07-11,69.00,69.00,67.50,67.50,13,7978,543023.00
2017-07-10,68.90,68.90,68.90,68.90,10,14695,1012485.50
2017-07-07,69.00,69.00,67.30,67.60,10,7670,518345.90
2017-07-06,67.70,69.40,67.30,67.30,9,1938,131350.80
2017-07-05,67.50,67.50,67.10,67.30,15,3100,208732.00
2017-07-04,67.70,67.70,67.50,67.70,2,72,4870.00
2017-07-03,67.40,67.70,67.30,67.70,14,5173,349693.50
2017-06-30,67.20,67.70,67.20,67.50,11,2977,201037.50
2017-06-29,67.10,67.50,67.00,67.20,10,577,38775.80
2017-06-28,67.20,67.70,67.10,67.10,8,601,40331.30
2017-06-27,67.50,67.70,67.00,67.60,13,4529,304183.30
2017-06-23,68.00,68.00,67.00,67.10,5,3100,207902.50
2017-06-22,68.20,68.50,68.00,68.10,12,10739,731329.00
2017-06-21,68.00,68.50,68.00,68.40,29,89712,6103172.00
2017-06-20,68.20,68.20,67.70,68.00,23,6558,445264.20
2017-06-19,69.00,69.00,68.10,68.20,10,1190,81134.30
2017-06-16,69.50,69.50,68.40,68.50,15,15622,1070822.30
2017-06-15,68.00,69.00,68.00,68.90,25,27584,1877755.40
2017-06-14,68.00,68.90,66.60,68.00,50,59224,4026602.90
2017-06-13,70.00,71.00,69.80,70.90,60,79894,5651828.40
2017-06-12,70.00,70.50,70.00,70.20,23,3888,273000.40
2017-06-09,69.50,70.50,69.50,70.00,37,36838,2576004.90
2017-06-07,69.50,69.50,68.50,69.00,19,25771,1779209.50
2017-06-06,70.00,70.00,69.50,69.50,16,6154,427924.60
2017-06-05,70.00,70.90,69.80,70.00,52,26492,1855468.60
2017-06-02,70.30,70.30,69.00,69.20,10,7337,507282.90
2017-06-01,70.00,70.00,68.60,69.50,19,15112,1055423.90
2017-05-31,69.50,70.00,68.60,70.00,48,45293,3164863.80
2017-05-30,68.70,69.40,68.70,69.00,6,975,67192.50
2017-05-29,69.70,70.00,68.60,68.70,9,2222,153977.50
2017-05-26,69.10,70.30,68.20,68.90,9,5903,407008.50
2017-05-25,70.00,70.40,69.00,69.00,32,29424,2055038.60
2017-05-24,69.00,70.00,68.20,69.50,46,74697,5167565.80
2017-05-23,69.90,70.00,68.20,69.00,7,4342,297994.00
2017-05-22,69.00,70.00,68.00,68.10,29,21734,1495512.90
2017-05-19,69.90,69.90,68.50,69.30,10,7616,527222.40
2017-05-18,70.00,71.80,69.00,69.00,73,55013,3838927.30
2017-05-17,67.10,70.00,67.00,68.80,88,97672,6709794.60
2017-05-16,66.50,68.90,66.50,68.00,82,100862,6841335.20
2017-05-15,65.00,65.00,64.70,65.00,17,12350,802690.00
2017-05-12,64.50,64.50,64.50,64.50,1,300,19350.00
2017-05-09,65.50,65.50,64.50,65.00,24,15082,977688.00
2017-05-08,65.40,66.90,65.40,65.40,19,5154,337123.60
2017-05-05,64.00,65.00,64.00,64.90,29,19892,1289433.90
2017-05-04,64.00,64.90,63.30,64.00,23,20317,1289213.90
2017-05-03,63.20,63.20,63.20,63.20,3,302,19086.40
2017-04-28,63.00,64.00,62.20,64.00,8,7307,463854.60
2017-04-27,63.00,64.50,62.30,62.30,3,1375,86373.50
2017-04-26,63.20,63.20,63.20,62.20,1,10,632.00
2017-04-25,62.20,62.20,62.20,62.20,3,468,29109.60
2017-04-24,64.90,65.00,62.10,62.10,15,24600,1596110.00
2017-04-21,64.80,65.00,62.00,62.00,29,29558,1868383.10
2017-04-20,65.00,65.00,64.00,64.00,34,12361,797992.60
2017-04-19,62.30,65.00,62.10,64.70,44,12591,808669.70
2017-04-18,64.60,64.90,63.00,63.00,21,14299,901755.80
2017-04-17,64.90,64.90,62.20,64.30,16,6998,448349.00
2017-04-12,63.80,65.00,63.80,64.30,45,19711,1277290.20
2017-04-11,62.00,63.10,62.00,63.10,8,1270,79731.00
2017-04-07,61.00,64.80,61.00,61.70,34,30024,1848405.10
2017-04-06,60.00,61.00,60.00,61.00,9,15400,930400.00
2017-04-05,60.00,62.90,60.00,61.00,16,10875,657658.00
2017-04-04,59.90,60.00,59.90,60.00,8,6500,389980.00
2017-04-03,59.80,59.80,59.80,59.80,2,101,6039.80
2017-03-31,58.80,59.00,58.20,58.50,11,21431,1256335.90
2017-03-30,57.60,58.90,57.60,58.90,12,4314,250903.30
2017-03-29,57.50,57.50,57.40,57.50,6,1065,61188.50
2017-03-28,57.50,57.50,57.50,57.50,4,649,37317.50
2017-03-27,57.10,57.50,57.10,57.50,2,750,43005.00
2017-03-24,57.00,57.10,57.00,57.10,12,9216,525324.00
2017-03-23,57.00,57.00,56.50,56.70,17,3941,223756.50
2017-03-22,58.90,58.90,58.50,58.50,13,13800,812500.00
2017-03-21,59.00,60.00,58.50,58.90,10,13532,798888.20
2017-03-20,57.50,59.10,57.50,59.00,27,49266,2850223.40
2017-03-17,56.60,57.10,56.50,56.50,5,1206,68164.80
2017-03-16,57.20,57.20,55.20,56.50,9,7994,454929.20
2017-03-15,57.50,58.50,57.20,57.50,18,24790,1425319.00
2017-03-14,57.50,57.50,57.50,57.50,2,4000,230000.00
2017-03-13,57.60,57.60,57.50,57.60,7,1461,84143.60
2017-03-10,57.20,57.20,57.20,57.20,3,700,40040.00
2017-03-09,62.00,62.00,57.20,57.20,4,301,17223.70
2017-03-06,58.30,58.30,57.10,58.30,6,2710,155005.00
2017-03-02,57.10,57.10,57.00,57.10,8,1411,80556.70
2017-03-01,57.10,57.50,57.10,57.10,4,1215,69781.30
2017-02-28,58.00,58.00,58.00,58.00,8,1520,88160.00
2017-02-27,58.10,58.10,58.00,58.00,4,500,29020.00
2017-02-23,58.30,59.50,58.20,59.30,7,1255,74398.00
2017-02-22,59.50,59.50,59.50,59.50,2,550,32725.00
2017-02-21,59.00,59.00,59.00,59.00,3,1000,59000.00
2017-02-20,59.00,59.00,58.90,58.90,4,2450,144505.00
2017-02-17,59.10,59.10,59.10,59.10,4,3000,177300.00
2017-02-16,59.50,59.50,59.50,59.50,5,1935,115132.50
2017-02-15,59.50,59.50,59.50,59.50,2,889,52895.50
2017-02-14,60.00,60.00,59.50,59.50,4,3950,235480.00
2017-02-13,60.00,60.10,59.90,60.00,12,41012,2460621.20
2017-02-09,58.80,60.00,58.80,60.00,4,720,43166.00
2017-02-08,60.00,60.00,59.50,60.00,6,10212,610388.50
2017-02-07,58.40,58.40,58.20,58.30,5,1770,103223.00
2017-02-06,59.00,59.00,58.40,58.60,6,3000,176400.00
2017-02-03,58.30,58.60,58.30,58.60,6,1967,115111.20
2017-02-02,58.10,58.10,58.10,58.10,1,100,5810.00
2017-02-01,58.00,58.00,58.00,58.00,1,200,11600.00
2017-01-31,58.00,58.00,58.00,58.00,3,600,34800.00
2017-01-30,56.70,58.00,56.70,58.00,3,278,15905.60
2017-01-27,58.00,58.00,58.00,58.00,2,1300,75400.00
2017-01-26,58.00,58.00,56.20,57.00,22,5844,333484.80
2017-01-25,59.00,59.00,58.10,58.20,14,3430,200005.50
2017-01-24,58.50,59.00,58.50,58.70,11,2665,156712.20
2017-01-23,59.90,59.90,59.00,59.00,11,1692,99852.00
2017-01-20,60.00,60.00,60.00,60.00,1,2000,120000.00
2017-01-19,59.20,59.20,59.20,59.20,3,1000,59200.00
2017-01-18,60.00,60.00,60.00,60.00,3,10400,624000.00
2017-01-16,60.00,60.00,60.00,60.00,2,6118,367080.00
2017-01-13,61.50,61.50,60.00,60.00,5,5999,361467.00
2017-01-11,60.10,60.10,60.10,60.10,1,1000,60100.00
